Vivado Simulator 2018.2
Time resolution is 1 ps
SW: xxxx | REAL =        x (0.000000), IMAG =        x (0.000000)
SW: 0010 | REAL =        0 (0.000000), IMAG =        0 (0.000000)
SW: 0100 | REAL =        0 (0.000000), IMAG =      752 (47.000000)
SW: 1000 | REAL =   154416 (9651.000000), IMAG =    83952 (5247.000000)
SW: 1000 | REAL =       16 (1.000000), IMAG =        7 (0.437500)
SW: 0001 | REAL =       16 (1.000000), IMAG =        7 (0.437500)
SW: 0010 | REAL =     3168 (198.000000), IMAG =      848 (53.000000)
SW: 0100 | REAL =        0 (0.000000), IMAG =      752 (47.000000)
SW: 0100 | REAL =   154416 (9651.000000), IMAG =    83952 (5247.000000)
SW: 0100 | REAL =   154416 (9651.000000), IMAG =    83952 (5247.000000)
